"","family","emojis","n","url","descr","label","Número de Tweets"
"1","OpenSansEmoji","<U+0001F4F9>",2551,"https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/video-camera_1f4f9.png","Una cámara de video, como una videocámara utilizada para filmar videos caseros en la década de 1980–90. Generalmente se representa como una cámara de video gris o negra con visor, botones de control y lente apuntando a la izquierda. Comúnmente utilizado para diversos contenidos relacionados con películas y videos, así como un ícono para un video, como antes de una carga, enlace o crédito. El diseño de Google es azul y anteriormente presentaba una pantalla plegable. Samsung está equipado con un micrófono. La cámara de video se aprobó como parte de Unicode 6.0 en 2010 y se agregó a Emoji 1.0 en 2015.","<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/video-camera_1f4f9.png' width='25'/>",2551
"2","EmojiOne","<U+2695>",1596,"https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/96/staff-of-aesculapius_2695.png","Un símbolo que muestra una varilla con una serpiente entrelazada alrededor del exterior en forma de espiral descendente. Asociado con medicamentos y servicios de atención médica como médicos u hospitales. Un símbolo similar y relacionado llamado Caduceo se usa con frecuencia en los Estados Unidos. Medical Symbol fue aprobado como parte de Unicode 4.1 en 2005 con el nombre Staff of Aesculapius y se agregó a Emoji 4.0 en 2016.","<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/96/staff-of-aesculapius_2695.png' width='25'/>",1596
"3","EmojiOne","<U+2640>",1050,"https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/google/241/female-sign_2640.png","Un círculo que se muestra con una línea vertical cruzada debajo de él, que se usa como representación para las mujeres. Female Sign se aprobó como parte de Unicode 1.1 en 1993 y se agregó a Emoji 4.0 en 2016.","<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/google/241/female-sign_2640.png' width='25'/>",1050
"4","OpenSansEmoji","<U+0001F1F2><U+0001F1FD>",877,"https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/flag-for-mexico_1f1f2-1f1fd.png","La bandera de México, que puede aparecer como las letras MX en algunas plataformas. La bandera: El emoji de México es una secuencia de los emojis Symbol Símbolo de indicador regional Letra M y emo Símbolo de símbolo de indicador regional X. Estos se muestran como un solo emoji en las plataformas compatibles. Bandera: México se agregó a Emoji 1.0 en 2015.","<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/flag-for-mexico_1f1f2-1f1fd.png' width='25'/>",877
"5","OpenSansEmoji","<U+0001F447>",691,"https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/white-down-pointing-backhand-index_1f447.png","El dedo índice apuntando hacia abajo. El índice de revés apuntando hacia abajo fue aprobado como parte de Unicode 6.0 en 2010 bajo el nombre de Índice de revés apuntando hacia abajo y se agregó a Emoji 1.0 en 2015.","<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/white-down-pointing-backhand-index_1f447.png' width='25'/>",691
"6","EmojiOne","<U+2642>",614,"https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/google/241/male-sign_2642.png","Un círculo que se muestra con una flecha diagonal que señala la esquina superior derecha, que se usa como representación para los hombres. Male Sign se aprobó como parte de Unicode 1.1 en 1993 y se agregó a Emoji 4.0 en 2016.","<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/google/241/male-sign_2642.png' width='25'/>",614
"7","OpenSansEmoji","<U+0001F449>",577,"https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/white-right-pointing-backhand-index_1f449.png","El dedo índice apuntando hacia la derecha. Backhand Index Pointing Right se aprobó como parte de Unicode 6.0 en 2010 bajo el nombre de White Right Pointing Backhand Index y se agregó a Emoji 1.0 en 2015.","<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/white-right-pointing-backhand-index_1f449.png' width='25'/>",577
"8","OpenSansEmoji","<U+0001F637>",451,"https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/face-with-medical-mask_1f637.png","Una cara amarilla con los ojos cerrados y una máscara quirúrgica blanca, como la que usan los trabajadores de salud en los hospitales. También se usa para evitar enfermedades o propagar enfermedades transmitidas por el aire. Windows 8.1 representaba una máscara antipolvo, utilizada por los trabajadores de la construcción, cambiada a una máscara médica en Windows 10. En 2020, este emoji se utilizó principalmente en referencia al Coronavirus / COVID-19. Face with Medical Mask se aprobó como parte de Unicode 6.0 en 2010 y se agregó a Emoji 1.0 en 2015.","<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/face-with-medical-mask_1f637.png' width='25'/>",451
"9","OpenSansEmoji","<U+0001F64F>",439,"https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/person-with-folded-hands_1f64f.png","Dos manos colocadas firmemente juntas, lo que significa por favor o gracias en la cultura japonesa. Un uso alternativo común para este emoji es para la oración, usando el mismo gesto que las manos orando. Raramente: un choca esos cinco. Una versión anterior de este emoji mostraba un estallido de luz amarilla detrás de las dos manos en iOS. Android una vez mostró un carácter de burbuja con los ojos cerrados y las manos juntas. Manos plegables se aprobó como parte de Unicode 6.0 en 2010 bajo el nombre de Persona con manos plegadas y se agregó a Emoji 1.0 en 2015.","<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/person-with-folded-hands_1f64f.png' width='25'/>",439
"10","OpenSansEmoji","<U+0001F447>",345,"https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/white-down-pointing-backhand-index_1f447.png","El dedo índice apuntando hacia abajo. El índice de revés apuntando hacia abajo fue aprobado como parte de Unicode 6.0 en 2010 bajo el nombre de Índice de revés apuntando hacia abajo y se agregó a Emoji 1.0 en 2015.","<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/white-down-pointing-backhand-index_1f447.png' width='25'/>",345
